Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
True,118.0,9437,,,Absolute,3s,VR
False,147.0,9437,,,Absolute,3s,VR
True,128.0,9437,,,Absolute,3s,VR
True,167.0,9437,,,Absolute,3s,VR
True,55.0,9437,,,Absolute,3s,VR
False,177.0,9437,,,Absolute,3s,VR
False,112.0,9437,,,Absolute,3s,VR
True,196.0,9437,,,Absolute,3s,VR
False,70.0,9437,,,Absolute,3s,VR
False,134.0,9437,,,Absolute,3s,VR
True,91.0,9437,,,Absolute,3s,VR
True,10.0,9437,,,Absolute,3s,VR
True,178.0,9437,,,Absolute,3s,VR
True,154.0,9437,,,Absolute,3s,VR
False,155.0,9437,,,Absolute,3s,VR
False,140.0,9437,,,Absolute,3s,VR
True,122.0,9437,,,Absolute,3s,VR
True,194.0,9437,,,Absolute,3s,VR
True,34.0,9437,,,Absolute,3s,VR
False,17.0,9437,,,Absolute,3s,VR
False,132.0,9437,,,Absolute,3s,VR
True,168.0,9437,,,Absolute,3s,VR
True,62.0,9437,,,Absolute,3s,VR
True,171.0,9437,,,Absolute,3s,VR
True,136.0,9437,,,Absolute,3s,VR
True,170.0,9437,,,Absolute,3s,VR
True,57.0,9437,,,Absolute,3s,VR
True,56.0,9437,,,Absolute,3s,VR
True,176.0,9437,,,Absolute,3s,VR
True,145.0,9437,,,Absolute,3s,VR
True,108.0,9437,,,Absolute,3s,VR
True,74.0,9437,,,Absolute,3s,VR
False,58.0,9437,,,Absolute,3s,VR
True,53.0,9437,,,Absolute,3s,VR
False,139.0,9437,,,Absolute,3s,VR
True,121.0,9437,,,Absolute,3s,VR
False,162.0,9437,,,Absolute,Inf,VR
True,60.0,9437,,,Absolute,Inf,VR
True,181.0,9437,,,Absolute,Inf,VR
False,32.0,9437,,,Absolute,Inf,VR
False,6.0,9437,,,Absolute,Inf,VR
True,149.0,9437,,,Absolute,Inf,VR
False,29.0,9437,,,Absolute,Inf,VR
False,123.0,9437,,,Absolute,Inf,VR
True,130.0,9437,,,Absolute,Inf,VR
False,137.0,9437,,,Absolute,Inf,VR
False,159.0,9437,,,Absolute,Inf,VR
False,39.0,9437,,,Absolute,Inf,VR
True,69.0,9437,,,Absolute,Inf,VR
False,169.0,9437,,,Absolute,Inf,VR
True,8.0,9437,,,Absolute,Inf,VR
True,183.0,9437,,,Absolute,Inf,VR
True,138.0,9437,,,Absolute,Inf,VR
True,63.0,9437,,,Absolute,Inf,VR
False,153.0,9437,,,Absolute,Inf,VR
True,106.0,9437,,,Absolute,Inf,VR
False,197.0,9437,,,Absolute,Inf,VR
True,113.0,9437,,,Absolute,Inf,VR
False,54.0,9437,,,Absolute,Inf,VR
False,133.0,9437,,,Absolute,Inf,VR
True,103.0,9437,,,Absolute,Inf,VR
False,96.0,9437,,,Absolute,Inf,VR
False,115.0,9437,,,Absolute,Inf,VR
False,124.0,9437,,,Absolute,Inf,VR
False,16.0,9437,,,Absolute,Inf,VR
True,148.0,9437,,,Absolute,Inf,VR
True,126.0,9437,,,Absolute,Inf,VR
True,172.0,9437,,,Absolute,Inf,VR
False,12.0,9437,,,Absolute,Inf,VR
False,175.0,9437,,,Absolute,Inf,VR
True,152.0,9437,,,Absolute,Inf,VR
False,102.0,9437,,,Absolute,Inf,VR
True,171.0,1155,,,Absolute,3s,VR
False,194.0,1155,,,Absolute,3s,VR
True,55.0,1155,,,Absolute,3s,VR
True,62.0,1155,,,Absolute,3s,VR
True,140.0,1155,,,Absolute,3s,VR
True,57.0,1155,,,Absolute,3s,VR
False,132.0,1155,,,Absolute,3s,VR
False,58.0,1155,,,Absolute,3s,VR
True,74.0,1155,,,Absolute,3s,VR
True,34.0,1155,,,Absolute,3s,VR
True,91.0,1155,,,Absolute,3s,VR
False,70.0,1155,,,Absolute,3s,VR
False,121.0,1155,,,Absolute,3s,VR
False,139.0,1155,,,Absolute,3s,VR
True,53.0,1155,,,Absolute,3s,VR
False,170.0,1155,,,Absolute,3s,VR
False,136.0,1155,,,Absolute,3s,VR
True,108.0,1155,,,Absolute,3s,VR
True,167.0,1155,,,Absolute,3s,VR
True,122.0,1155,,,Absolute,3s,VR
True,147.0,1155,,,Absolute,3s,VR
False,118.0,1155,,,Absolute,3s,VR
False,112.0,1155,,,Absolute,3s,VR
True,128.0,1155,,,Absolute,3s,VR
True,155.0,1155,,,Absolute,3s,VR
False,168.0,1155,,,Absolute,3s,VR
False,56.0,1155,,,Absolute,3s,VR
False,10.0,1155,,,Absolute,3s,VR
False,17.0,1155,,,Absolute,3s,VR
False,176.0,1155,,,Absolute,3s,VR
False,196.0,1155,,,Absolute,3s,VR
True,134.0,1155,,,Absolute,3s,VR
False,154.0,1155,,,Absolute,3s,VR
False,178.0,1155,,,Absolute,3s,VR
True,145.0,1155,,,Absolute,3s,VR
False,177.0,1155,,,Absolute,3s,VR
False,152.0,1155,,,Absolute,Inf,VR
True,39.0,1155,,,Absolute,Inf,VR
True,113.0,1155,,,Absolute,Inf,VR
True,32.0,1155,,,Absolute,Inf,VR
True,106.0,1155,,,Absolute,Inf,VR
True,123.0,1155,,,Absolute,Inf,VR
True,115.0,1155,,,Absolute,Inf,VR
True,169.0,1155,,,Absolute,Inf,VR
False,159.0,1155,,,Absolute,Inf,VR
False,102.0,1155,,,Absolute,Inf,VR
True,175.0,1155,,,Absolute,Inf,VR
False,54.0,1155,,,Absolute,Inf,VR
True,153.0,1155,,,Absolute,Inf,VR
True,29.0,1155,,,Absolute,Inf,VR
False,124.0,1155,,,Absolute,Inf,VR
False,181.0,1155,,,Absolute,Inf,VR
False,16.0,1155,,,Absolute,Inf,VR
False,183.0,1155,,,Absolute,Inf,VR
False,63.0,1155,,,Absolute,Inf,VR
True,149.0,1155,,,Absolute,Inf,VR
True,148.0,1155,,,Absolute,Inf,VR
True,103.0,1155,,,Absolute,Inf,VR
False,126.0,1155,,,Absolute,Inf,VR
True,60.0,1155,,,Absolute,Inf,VR
False,12.0,1155,,,Absolute,Inf,VR
False,130.0,1155,,,Absolute,Inf,VR
False,6.0,1155,,,Absolute,Inf,VR
False,133.0,1155,,,Absolute,Inf,VR
False,138.0,1155,,,Absolute,Inf,VR
True,96.0,1155,,,Absolute,Inf,VR
True,197.0,1155,,,Absolute,Inf,VR
False,8.0,1155,,,Absolute,Inf,VR
False,137.0,1155,,,Absolute,Inf,VR
True,162.0,1155,,,Absolute,Inf,VR
False,69.0,1155,,,Absolute,Inf,VR
True,172.0,1155,,,Absolute,Inf,VR
True,112.0,8547,,,Absolute,3s,VR
True,168.0,8547,,,Absolute,3s,VR
True,118.0,8547,,,Absolute,3s,VR
False,155.0,8547,,,Absolute,3s,VR
