Subject,Task,Time,Accuracy,Group,measurement_1,measurement_2,Scale,Score
1155,Absolute,3s,0.4722222222222222,VR,3668,1540,Egocentric,6.6
1155,Absolute,3s,0.4722222222222222,VR,3668,1540,Allocentric,6.71
1155,Absolute,3s,0.4722222222222222,VR,3668,1540,Cardinal Direction,4.0
1155,Absolute,Inf,0.5,VR,3668,1540,Egocentric,6.6
1155,Absolute,Inf,0.5,VR,3668,1540,Allocentric,6.71
1155,Absolute,Inf,0.5,VR,3668,1540,Cardinal Direction,4.0
1155,Relative,3s,0.5277777777777778,VR,3668,1540,Egocentric,6.6
1155,Relative,3s,0.5277777777777778,VR,3668,1540,Allocentric,6.71
1155,Relative,3s,0.5277777777777778,VR,3668,1540,Cardinal Direction,4.0
1155,Relative,Inf,0.5,VR,3668,1540,Egocentric,6.6
1155,Relative,Inf,0.5,VR,3668,1540,Allocentric,6.71
1155,Relative,Inf,0.5,VR,3668,1540,Cardinal Direction,4.0
1155,Pointing,3s,0.5,VR,3668,1540,Egocentric,6.6
1155,Pointing,3s,0.5,VR,3668,1540,Allocentric,6.71
1155,Pointing,3s,0.5,VR,3668,1540,Cardinal Direction,4.0
1155,Pointing,Inf,0.6666666666666666,VR,3668,1540,Egocentric,6.6
1155,Pointing,Inf,0.6666666666666666,VR,3668,1540,Allocentric,6.71
1155,Pointing,Inf,0.6666666666666666,VR,3668,1540,Cardinal Direction,4.0
2044,Absolute,3s,0.4444444444444444,VR,9364,2098,Egocentric,5.7
2044,Absolute,3s,0.4444444444444444,VR,9364,2098,Allocentric,4.71
2044,Absolute,3s,0.4444444444444444,VR,9364,2098,Cardinal Direction,2.5
2044,Absolute,Inf,0.4166666666666667,VR,9364,2098,Egocentric,5.7
2044,Absolute,Inf,0.4166666666666667,VR,9364,2098,Allocentric,4.71
2044,Absolute,Inf,0.4166666666666667,VR,9364,2098,Cardinal Direction,2.5
2044,Relative,3s,0.4444444444444444,VR,9364,2098,Egocentric,5.7
2044,Relative,3s,0.4444444444444444,VR,9364,2098,Allocentric,4.71
2044,Relative,3s,0.4444444444444444,VR,9364,2098,Cardinal Direction,2.5
2044,Relative,Inf,0.6388888888888888,VR,9364,2098,Egocentric,5.7
2044,Relative,Inf,0.6388888888888888,VR,9364,2098,Allocentric,4.71
2044,Relative,Inf,0.6388888888888888,VR,9364,2098,Cardinal Direction,2.5
2044,Pointing,3s,0.5,VR,9364,2098,Egocentric,5.7
2044,Pointing,3s,0.5,VR,9364,2098,Allocentric,4.71
2044,Pointing,3s,0.5,VR,9364,2098,Cardinal Direction,2.5
2044,Pointing,Inf,0.5833333333333334,VR,9364,2098,Egocentric,5.7
2044,Pointing,Inf,0.5833333333333334,VR,9364,2098,Allocentric,4.71
2044,Pointing,Inf,0.5833333333333334,VR,9364,2098,Cardinal Direction,2.5
3023,Absolute,3s,0.6666666666666666,VR,6348,5696,Egocentric,5.9
3023,Absolute,3s,0.6666666666666666,VR,6348,5696,Allocentric,6.14
3023,Absolute,3s,0.6666666666666666,VR,6348,5696,Cardinal Direction,4.5
3023,Absolute,Inf,0.75,VR,6348,5696,Egocentric,5.9
3023,Absolute,Inf,0.75,VR,6348,5696,Allocentric,6.14
3023,Absolute,Inf,0.75,VR,6348,5696,Cardinal Direction,4.5
3023,Relative,3s,0.6944444444444444,VR,6348,5696,Egocentric,5.9
3023,Relative,3s,0.6944444444444444,VR,6348,5696,Allocentric,6.14
3023,Relative,3s,0.6944444444444444,VR,6348,5696,Cardinal Direction,4.5
3023,Relative,Inf,0.75,VR,6348,5696,Egocentric,5.9
3023,Relative,Inf,0.75,VR,6348,5696,Allocentric,6.14
3023,Relative,Inf,0.75,VR,6348,5696,Cardinal Direction,4.5
3023,Pointing,3s,0.5,VR,6348,5696,Egocentric,5.9
3023,Pointing,3s,0.5,VR,6348,5696,Allocentric,6.14
3023,Pointing,3s,0.5,VR,6348,5696,Cardinal Direction,4.5
3023,Pointing,Inf,0.8055555555555556,VR,6348,5696,Egocentric,5.9
3023,Pointing,Inf,0.8055555555555556,VR,6348,5696,Allocentric,6.14
3023,Pointing,Inf,0.8055555555555556,VR,6348,5696,Cardinal Direction,4.5
3743,Absolute,3s,0.4444444444444444,VR,8834,9748,Egocentric,5.1
3743,Absolute,3s,0.4444444444444444,VR,8834,9748,Allocentric,6.14
3743,Absolute,3s,0.4444444444444444,VR,8834,9748,Cardinal Direction,5.5
3743,Absolute,Inf,0.7777777777777778,VR,8834,9748,Egocentric,5.1
3743,Absolute,Inf,0.7777777777777778,VR,8834,9748,Allocentric,6.14
3743,Absolute,Inf,0.7777777777777778,VR,8834,9748,Cardinal Direction,5.5
3743,Relative,3s,0.4722222222222222,VR,8834,9748,Egocentric,5.1
3743,Relative,3s,0.4722222222222222,VR,8834,9748,Allocentric,6.14
3743,Relative,3s,0.4722222222222222,VR,8834,9748,Cardinal Direction,5.5
3743,Relative,Inf,0.6388888888888888,VR,8834,9748,Egocentric,5.1
3743,Relative,Inf,0.6388888888888888,VR,8834,9748,Allocentric,6.14
3743,Relative,Inf,0.6388888888888888,VR,8834,9748,Cardinal Direction,5.5
3743,Pointing,3s,0.6111111111111112,VR,8834,9748,Egocentric,5.1
3743,Pointing,3s,0.6111111111111112,VR,8834,9748,Allocentric,6.14
3743,Pointing,3s,0.6111111111111112,VR,8834,9748,Cardinal Direction,5.5
3743,Pointing,Inf,0.7222222222222222,VR,8834,9748,Egocentric,5.1
3743,Pointing,Inf,0.7222222222222222,VR,8834,9748,Allocentric,6.14
3743,Pointing,Inf,0.7222222222222222,VR,8834,9748,Cardinal Direction,5.5
4272,Absolute,3s,0.3888888888888889,VR,2179,7942,Egocentric,
4272,Absolute,3s,0.3888888888888889,VR,2179,7942,Allocentric,
4272,Absolute,3s,0.3888888888888889,VR,2179,7942,Cardinal Direction,
4272,Absolute,Inf,0.4722222222222222,VR,2179,7942,Egocentric,
4272,Absolute,Inf,0.4722222222222222,VR,2179,7942,Allocentric,
4272,Absolute,Inf,0.4722222222222222,VR,2179,7942,Cardinal Direction,
4272,Relative,3s,0.3333333333333333,VR,2179,7942,Egocentric,
4272,Relative,3s,0.3333333333333333,VR,2179,7942,Allocentric,
4272,Relative,3s,0.3333333333333333,VR,2179,7942,Cardinal Direction,
4272,Relative,Inf,0.5833333333333334,VR,2179,7942,Egocentric,
4272,Relative,Inf,0.5833333333333334,VR,2179,7942,Allocentric,
4272,Relative,Inf,0.5833333333333334,VR,2179,7942,Cardinal Direction,
4272,Pointing,3s,0.5833333333333334,VR,2179,7942,Egocentric,
4272,Pointing,3s,0.5833333333333334,VR,2179,7942,Allocentric,
4272,Pointing,3s,0.5833333333333334,VR,2179,7942,Cardinal Direction,
4272,Pointing,Inf,0.6111111111111112,VR,2179,7942,Egocentric,
4272,Pointing,Inf,0.6111111111111112,VR,2179,7942,Allocentric,
