Subject,measurement_1,measurement_2,Group,Absolute_3s,Absolute_Inf,Pointing_3s,Pointing_Inf,Relative_3s,Relative_Inf,Gender,Age,Egocentric,Allocentric,Cardinal Direction
9437,1909,8551,VR,0.6944444444444444,0.4444444444444444,0.5,0.6111111111111112,0.5,0.3333333333333333,f,26,5.4,3.42,1.0
1155,3668,1540,VR,0.4722222222222222,0.5,0.5,0.6666666666666666,0.5277777777777778,0.5,f,24,6.6,6.71,4.0
8547,8466,8041,VR,0.4166666666666667,0.6388888888888888,0.6388888888888888,0.5,0.5555555555555556,0.3888888888888889,m,22,4.1,3.85,4.5
8261,3430,3963,VR,0.5,0.6944444444444444,0.6388888888888888,0.5555555555555556,0.3611111111111111,0.6111111111111112,f,19,3.3,4.43,1.0
3023,6348,5696,VR,0.6666666666666666,0.75,0.5,0.8055555555555556,0.6944444444444444,0.75,m,24,5.9,6.14,4.5
7021,2151,3299,VR,0.5555555555555556,0.5277777777777778,0.6388888888888888,0.6388888888888888,0.5277777777777778,0.6388888888888888,m,27,6.0,4.85,6.0
5239,4502,1582,VR,0.5833333333333334,0.4722222222222222,0.3888888888888889,0.5277777777777778,0.3888888888888889,0.5833333333333334,m,27,4.4,2.0,1.0
8936,7670,6430,VR,0.5277777777777778,0.5,0.5277777777777778,0.5833333333333334,0.5,0.2222222222222222,f,22,3.5,1.57,1.0
9961,8258,9176,VR,0.3888888888888889,0.5555555555555556,0.4166666666666667,0.6111111111111112,0.4722222222222222,0.5277777777777778,f,21,3.8,1.71,3.0
9017,3377,5602,VR,0.5,0.5,0.5,0.5555555555555556,0.6111111111111112,0.6666666666666666,f,23,5.1,4.43,5.5
2044,9364,2098,VR,0.4444444444444444,0.4166666666666667,0.5,0.5833333333333334,0.4444444444444444,0.6388888888888888,m,27,5.7,4.71,2.5
8195,6387,3856,VR,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.5,0.4722222222222222,0.5833333333333334,m,21,2.8,3.42,3.5
4272,2179,7942,VR,0.3888888888888889,0.4722222222222222,0.5833333333333334,0.6111111111111112,0.3333333333333333,0.5833333333333334,f,24,,,
5346,4470,6594,VR,0.4166666666666667,0.75,0.5,0.5,0.4166666666666667,0.5833333333333334,m,23,5.0,4.0,6.0
8072,6971,4510,VR,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.5,0.4722222222222222,m,19,,,
6398,5507,3949,VR,0.5277777777777778,0.8055555555555556,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.8055555555555556,m,19,,,
3743,8834,9748,VR,0.4444444444444444,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.4722222222222222,0.6388888888888888,f,23,5.1,6.14,5.5
5253,5978,3686,VR,0.5277777777777778,0.6388888888888888,0.5277777777777778,0.5833333333333334,0.4444444444444444,0.4166666666666667,m,24,4.1,3.85,3.5
9475,1002,6543,VR,0.6388888888888888,0.6666666666666666,0.4722222222222222,0.5833333333333334,0.5277777777777778,0.5277777777777778,f,21,5.8,5.57,5.5
8954,7399,7205,VR,0.4444444444444444,0.5277777777777778,0.5,0.6944444444444444,0.5,0.6111111111111112,f,24,2.5,1.43,1.0
8699,9202,5582,VR,0.5277777777777778,0.5,0.5555555555555556,0.5833333333333334,0.5555555555555556,0.5,f,19,4.7,4.0,3.0
