HouseNr,Angle,x,y
001,90.0,418.0,710.7
002,180.0,419.1,725.3
003,180.0,419.2,750.2
005,180.0,463.9,784.7
006,180.0,400.9,835.7
007,180.0,465.0,775.7
008,180.0,467.3,717.0
009,180.0,541.8,795.2
010,180.0,465.5,746.9
011,180.0,464.4,763.7
012,0.0,449.0,695.0
013,180.0,446.1,710.3
014,0.0,445.3,724.7
015,0.0,397.9,749.6
016,270.0,495.5,724.2
017,0.0,401.4,728.5
018,0.0,399.5,717.9
019,180.0,388.0,723.6
020,0.0,364.0,732.8
023,0.0,378.3,811.3
025,0.0,309.8,669.5
026,0.0,318.1,748.7
027,180.0,495.4,713.2
028,0.0,364.2,718.4
029,180.0,365.6,754.4
030,0.0,361.1,794.5
031,180.0,343.9,697.6
032,270.0,380.6,838.7
033,0.0,495.2,885.6
034,180.0,470.4,834.2
035,180.0,531.2,680.9
036,0.0,437.5,903.5
037,0.0,442.3,889.0
038,0.0,439.1,863.2
039,180.0,647.9,876.3
040,180.0,650.3,784.6
041,180.0,585.4,601.3
042,180.0,343.8,679.8
043,0.0,313.4,608.9
044,0.0,319.2,625.7
045,0.0,310.9,597.6
046,0.0,195.9,839.4
047,0.0,198.7,826.2
048,90.0,345.4,666.5
049,90.0,438.1,758.2
050,90.0,431.4,740.6
051,0.0,440.0,779.7
052,90.0,435.2,769.9
053,90.0,430.3,769.4
054,0.0,443.4,771.1
055,90.0,437.6,803.8
056,0.0,444.4,758.8
057,90.0,416.5,801.7
058,270.0,540.5,723.5
059,90.0,510.0,748.8
060,90.0,499.4,813.8
061,180.0,508.0,770.1
062,0.0,491.0,744.8
063,90.0,476.4,746.8
064,270.0,446.3,672.0
065,270.0,437.4,671.2
066,270.0,433.0,725.6
067,270.0,290.0,783.1
068,270.0,316.5,842.6
069,90.0,464.7,806.6
070,0.0,487.8,757.0
071,270.0,401.5,684.1
072,270.0,284.2,841.5
073,0.0,443.1,839.2
074,90.0,408.2,821.6
075,90.0,372.7,765.7
076,270.0,380.3,794.5
077,270.0,312.2,707.4
078,90.0,384.2,663.4
079,90.0,287.0,817.8
080,0.0,497.5,668.7
081,90.0,439.8,950.2
082,270.0,242.3,797.1
083,180.0,659.8,841.0
084,270.0,608.0,745.5
085,270.0,335.2,570.9
086,270.0,551.0,584.7
087,90.0,369.2,665.9
088,90.0,253.8,871.5
089,90.0,359.2,667.6
090,90.0,395.9,667.0
091,270.0,364.2,595.0
092,90.0,548.1,913.7
094,270.0,231.7,845.9
095,90.0,230.6,869.1
096,90.0,243.1,871.6
097,270.0,252.1,845.1
098,90.0,240.9,834.8
099,270.0,260.4,845.0
100,270.0,242.2,845.5
101,90.0,269.6,825.1
102,30.0,420.2,771.7
103,220.0,446.0,748.2
104,210.0,419.5,764.4
105,125.0,408.5,800.8
106,210.0,551.4,731.5
107,300.0,509.6,717.6
108,30.0,462.7,693.8
109,120.0,525.7,812.9
110,30.0,480.1,813.0
111,305.0,416.0,704.8
112,305.0,425.3,676.1
113,210.0,494.3,704.6
114,305.0,395.8,770.1
115,30.0,560.6,844.9
116,305.0,376.2,685.4
117,30.0,394.9,790.9
118,305.0,487.9,780.1
119,210.0,412.0,779.9
120,130.0,387.2,710.1
121,207.0,473.7,818.6
122,30.0,344.8,770.1
123,303.0,511.0,826.0
124,305.0,271.4,786.5
125,125.0,541.7,663.1
126,120.0,503.7,653.0
127,25.0,566.3,855.8
128,30.0,538.7,878.9
129,300.0,582.3,888.7
130,210.0,540.9,855.2
131,125.0,537.3,843.6
132,120.0,573.6,881.9
133,300.0,597.1,827.9
134,207.0,565.5,886.6
135,130.0,439.3,657.3
136,120.0,601.8,864.3
137,120.0,405.1,661.1
138,120.0,581.3,875.4
139,300.0,575.5,742.8
140,303.0,535.4,591.4
141,125.0,262.4,827.5
142,210.0,222.4,841.8
143,210.0,671.9,750.4
144,300.0,444.1,625.0
145,35.0,202.5,856.3
146,123.0,382.4,891.4
147,63.0,426.5,754.8
148,60.0,440.8,744.5
149,153.0,420.2,742.4
151,140.0,404.2,804.2
152,240.0,525.3,717.4
153,243.0,520.1,772.4
154,330.0,369.3,699.8
155,240.0,476.1,674.1
156,150.0,462.5,656.6
157,330.0,431.7,705.8
158,325.0,414.3,687.2
159,145.0,530.1,754.1
160,245.0,479.3,785.5
161,145.0,521.5,701.3
162,150.0,388.5,798.0
163,240.0,351.3,724.3
164,153.0,343.9,720.0
165,143.0,370.9,830.8
166,143.0,354.9,840.1
167,230.0,333.6,810.5
168,323.0,329.6,844.2
169,325.0,349.0,813.9
170,243.0,651.4,710.6
171,57.0,316.8,824.3
172,327.0,336.3,833.6
173,150.0,340.8,799.1
174,235.0,338.1,783.3
175,237.0,315.2,786.8
176,150.0,598.2,792.3
177,155.0,523.5,692.9
178,60.0,546.1,705.9
179,330.0,504.4,686.9
180,333.0,522.0,830.2
181,243.0,622.6,757.8
182,63.0,610.8,777.6
183,328.0,569.6,765.4
184,330.0,304.8,643.4
185,148.0,593.2,801.1
186,330.0,568.4,787.4
187,240.0,432.4,631.7
188,330.0,201.5,813.4
189,65.0,213.6,866.2
190,60.0,230.3,834.0
191,60.0,222.6,827.6
193,145.0,345.3,872.1
194,150.0,331.8,888.5
195,148.0,353.4,908.8
196,152.0,358.7,896.0
197,60.0,310.3,870.3
198,60.0,263.6,888.2
199,60.0,296.7,907.0
200,30.0,537.0,619.7
