Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
False,170.0,1719,,,Absolute,3s,Map
True,140.0,1719,,,Absolute,3s,Map
True,177.0,1719,,,Absolute,3s,Map
False,132.0,1719,,,Absolute,3s,Map
True,122.0,1719,,,Absolute,3s,Map
False,194.0,1719,,,Absolute,3s,Map
False,58.0,1719,,,Absolute,3s,Map
True,147.0,1719,,,Absolute,3s,Map
False,196.0,1719,,,Absolute,3s,Map
True,17.0,1719,,,Absolute,3s,Map
True,70.0,1719,,,Absolute,3s,Map
True,155.0,1719,,,Absolute,3s,Map
True,145.0,1719,,,Absolute,3s,Map
True,55.0,1719,,,Absolute,3s,Map
False,167.0,1719,,,Absolute,3s,Map
False,176.0,1719,,,Absolute,3s,Map
True,108.0,1719,,,Absolute,3s,Map
False,57.0,1719,,,Absolute,3s,Map
False,10.0,1719,,,Absolute,3s,Map
True,112.0,1719,,,Absolute,3s,Map
False,121.0,1719,,,Absolute,3s,Map
True,118.0,1719,,,Absolute,3s,Map
True,34.0,1719,,,Absolute,3s,Map
False,128.0,1719,,,Absolute,3s,Map
False,136.0,1719,,,Absolute,3s,Map
False,91.0,1719,,,Absolute,3s,Map
False,134.0,1719,,,Absolute,3s,Map
True,154.0,1719,,,Absolute,3s,Map
True,178.0,1719,,,Absolute,3s,Map
True,171.0,1719,,,Absolute,3s,Map
False,53.0,1719,,,Absolute,3s,Map
True,56.0,1719,,,Absolute,3s,Map
True,168.0,1719,,,Absolute,3s,Map
False,74.0,1719,,,Absolute,3s,Map
False,62.0,1719,,,Absolute,3s,Map
False,139.0,1719,,,Absolute,3s,Map
False,149.0,1719,,,Absolute,Inf,Map
True,148.0,1719,,,Absolute,Inf,Map
True,29.0,1719,,,Absolute,Inf,Map
True,162.0,1719,,,Absolute,Inf,Map
True,63.0,1719,,,Absolute,Inf,Map
True,39.0,1719,,,Absolute,Inf,Map
False,197.0,1719,,,Absolute,Inf,Map
False,152.0,1719,,,Absolute,Inf,Map
False,175.0,1719,,,Absolute,Inf,Map
True,102.0,1719,,,Absolute,Inf,Map
True,32.0,1719,,,Absolute,Inf,Map
True,133.0,1719,,,Absolute,Inf,Map
True,153.0,1719,,,Absolute,Inf,Map
False,126.0,1719,,,Absolute,Inf,Map
False,113.0,1719,,,Absolute,Inf,Map
True,60.0,1719,,,Absolute,Inf,Map
True,137.0,1719,,,Absolute,Inf,Map
False,124.0,1719,,,Absolute,Inf,Map
True,115.0,1719,,,Absolute,Inf,Map
True,169.0,1719,,,Absolute,Inf,Map
True,103.0,1719,,,Absolute,Inf,Map
True,183.0,1719,,,Absolute,Inf,Map
True,69.0,1719,,,Absolute,Inf,Map
False,123.0,1719,,,Absolute,Inf,Map
