Subject,Task,Time,Accuracy,Group,measurement_1,measurement_2,Scale,Score
1719,Absolute,3s,0.5,Map,4051,3005,Egocentric,2.5
1719,Absolute,3s,0.5,Map,4051,3005,Allocentric,3.86
1719,Absolute,3s,0.5,Map,4051,3005,Cardinal Direction,1.0
1719,Absolute,Inf,0.6111111111111112,Map,4051,3005,Egocentric,2.5
1719,Absolute,Inf,0.6111111111111112,Map,4051,3005,Allocentric,3.86
1719,Absolute,Inf,0.6111111111111112,Map,4051,3005,Cardinal Direction,1.0
1719,Relative,3s,0.5,Map,4051,3005,Egocentric,2.5
1719,Relative,3s,0.5,Map,4051,3005,Allocentric,3.86
1719,Relative,3s,0.5,Map,4051,3005,Cardinal Direction,1.0
1719,Relative,Inf,0.3888888888888889,Map,4051,3005,Egocentric,2.5
1719,Relative,Inf,0.3888888888888889,Map,4051,3005,Allocentric,3.86
1719,Relative,Inf,0.3888888888888889,Map,4051,3005,Cardinal Direction,1.0
1719,Pointing,3s,0.4444444444444444,Map,4051,3005,Egocentric,2.5
1719,Pointing,3s,0.4444444444444444,Map,4051,3005,Allocentric,3.86
1719,Pointing,3s,0.4444444444444444,Map,4051,3005,Cardinal Direction,1.0
1719,Pointing,Inf,0.4444444444444444,Map,4051,3005,Egocentric,2.5
1719,Pointing,Inf,0.4444444444444444,Map,4051,3005,Allocentric,3.86
1719,Pointing,Inf,0.4444444444444444,Map,4051,3005,Cardinal Direction,1.0
2096,Absolute,3s,0.5277777777777778,Map,5226,3608,Egocentric,3.5
2096,Absolute,3s,0.5277777777777778,Map,5226,3608,Allocentric,3.57
2096,Absolute,3s,0.5277777777777778,Map,5226,3608,Cardinal Direction,2.5
2096,Absolute,Inf,0.6111111111111112,Map,5226,3608,Egocentric,3.5
2096,Absolute,Inf,0.6111111111111112,Map,5226,3608,Allocentric,3.57
2096,Absolute,Inf,0.6111111111111112,Map,5226,3608,Cardinal Direction,2.5
2096,Relative,3s,0.5277777777777778,Map,5226,3608,Egocentric,3.5
2096,Relative,3s,0.5277777777777778,Map,5226,3608,Allocentric,3.57
2096,Relative,3s,0.5277777777777778,Map,5226,3608,Cardinal Direction,2.5
2096,Relative,Inf,0.6111111111111112,Map,5226,3608,Egocentric,3.5
2096,Relative,Inf,0.6111111111111112,Map,5226,3608,Allocentric,3.57
2096,Relative,Inf,0.6111111111111112,Map,5226,3608,Cardinal Direction,2.5
2096,Pointing,3s,0.3333333333333333,Map,5226,3608,Egocentric,3.5
2096,Pointing,3s,0.3333333333333333,Map,5226,3608,Allocentric,3.57
2096,Pointing,3s,0.3333333333333333,Map,5226,3608,Cardinal Direction,2.5
2096,Pointing,Inf,0.6111111111111112,Map,5226,3608,Egocentric,3.5
2096,Pointing,Inf,0.6111111111111112,Map,5226,3608,Allocentric,3.57
2096,Pointing,Inf,0.6111111111111112,Map,5226,3608,Cardinal Direction,2.5
2294,Absolute,3s,0.5555555555555556,Map,3599,4668,Egocentric,6.2
2294,Absolute,3s,0.5555555555555556,Map,3599,4668,Allocentric,6.29
2294,Absolute,3s,0.5555555555555556,Map,3599,4668,Cardinal Direction,3.5
2294,Absolute,Inf,0.4722222222222222,Map,3599,4668,Egocentric,6.2
2294,Absolute,Inf,0.4722222222222222,Map,3599,4668,Allocentric,6.29
2294,Absolute,Inf,0.4722222222222222,Map,3599,4668,Cardinal Direction,3.5
2294,Relative,3s,0.3333333333333333,Map,3599,4668,Egocentric,6.2
2294,Relative,3s,0.3333333333333333,Map,3599,4668,Allocentric,6.29
2294,Relative,3s,0.3333333333333333,Map,3599,4668,Cardinal Direction,3.5
2294,Relative,Inf,0.5277777777777778,Map,3599,4668,Egocentric,6.2
