Subject,measurement_1,measurement_2,Group,Absolute_3s,Absolute_Inf,Pointing_3s,Pointing_Inf,Relative_3s,Relative_Inf,Gender,Age,Egocentric,Allocentric,Cardinal Direction
4199,4608,3422,Map,0.6388888888888888,0.75,0.5277777777777778,0.6944444444444444,0.6111111111111112,0.7222222222222222,f,21,5.5,4.57,2.0
8078,4875,4477,Map,0.5,0.7222222222222222,0.5,0.5833333333333334,0.6111111111111112,0.7777777777777778,m,27,6.0,6.57,5.0
8802,2650,9400,Map,0.3888888888888889,0.6111111111111112,0.4166666666666667,0.6666666666666666,0.4444444444444444,0.4444444444444444,f,27,4.0,3.14,3.5
2294,3599,4668,Map,0.5555555555555556,0.4722222222222222,0.5277777777777778,0.3611111111111111,0.3333333333333333,0.5277777777777778,f,25,6.2,6.29,3.5
7396,5046,5660,Map,0.5277777777777778,0.4166666666666667,0.5277777777777778,0.5555555555555556,0.4166666666666667,0.6944444444444444,f,23,4.0,2.57,1.0
2557,4684,9923,Map,0.4722222222222222,0.5833333333333334,0.3333333333333333,0.6111111111111112,0.6944444444444444,0.5277777777777778,f,23,2.0,1.0,1.0
5904,7429,8717,Map,0.4166666666666667,0.3055555555555556,0.5277777777777778,0.5277777777777778,0.5833333333333334,0.5,f,18,5.3,3.57,1.0
2096,5226,3608,Map,0.5277777777777778,0.6111111111111112,0.3333333333333333,0.6111111111111112,0.5277777777777778,0.6111111111111112,m,28,3.5,3.57,2.5
1719,4051,3005,Map,0.5,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.5,0.3888888888888889,f,20,2.5,3.86,1.0
4749,4683,6744,Map,0.5555555555555556,0.75,0.5555555555555556,0.5277777777777778,0.7777777777777778,0.75,f,20,4.0,3.14,4.0
2299,2281,9997,Map,0.4166666666666667,0.6944444444444444,0.4722222222222222,0.5277777777777778,0.7222222222222222,0.5833333333333334,f,26,3.6,4.71,3.0
6449,2325,2739,Map,0.4722222222222222,0.5277777777777778,0.5555555555555556,0.75,0.6666666666666666,0.5555555555555556,f,23,6.2,6.43,4.0
8124,1456,7849,Map,0.7222222222222222,0.8888888888888888,0.5833333333333334,0.8611111111111112,0.8055555555555556,0.8333333333333334,m,23,4.8,4.28,6.5
7844,4625,3269,Map,0.5833333333333334,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5277777777777778,0.5833333333333334,m,25,4.1,3.0,1.0
5048,7552,6104,Map,0.5,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.5833333333333334,0.5277777777777778,m,26,4.9,3.57,2.5
8479,9749,7615,Map,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5833333333333334,0.5833333333333334,m,25,3.1,2.29,1.0
9369,1379,2698,Map,0.5833333333333334,0.6944444444444444,0.3333333333333333,0.5,0.5,0.6111111111111112,m,31,2.4,2.6,3.5
